title,artist,year
午前2時 私は今 自画像に描かれた自画像,竹原ピストル,2014
インターチェンジ,水谷豊,1977
ゼリー,UA,1996
君のいないRadio Station,すかんち,1994
午前2時のエンジェル,かの香織,1996
また君と feat. Ms.OOJA,JAY'ED,2014
燃えるブンブン,マギー・ミネンコ,1974
OWL,ストレイテナー,2010
sweet powder,メリー,2007
Tururu,渡辺美奈代,1988
-午前2時の恋人-,相川七瀬,2000
1986年のマリリン,本田美奈子,1986
diamrem,わか,2011
ガラスの腕時計,太田裕美,1976
AZABU Night,dps(deeps),1997
26:00:00,松たか子,2003
Solitude,畑中葉子,1983
プライヴェート ヌード,石川秀美,1989
アナザーフェイス,井上昌己,1991
愛は切なくて[A LOVER SPURNED],やや,1990
うさぎのかぞえかた,さつき が てんこもり,2014
絵本,そろばん,2005
チャンラリ チャラリララ,シャ乱Q,2006
ケイサツ来るまで踊りまくれ,サンボマスター,2015
ヤム・ゴールデンチョコ,Brandnew Little Toys,2002
歩き続けよう,吉田直樹,2000
12月,EARTHSHAKER,1989
赤い靴のカウボーイ,飯塚雅弓,2006
崖っぷち,COKEBERRY,1998
I believe you ～愛の花～,愛内里菜,2008
Lightdentity,ねごと,2012
It's my life,エレファントカシマシ,2008
何もしてあげられない,ELLIS,1992
仮病 -kebyou-,Crazy Ken Band,2010
HOLD ON BABY,矢沢永吉,1982
break;down,hmtk feat.初音ミク,2010
センチメンタルラボラトリー,もっふーP feat.GUMI,2012
AGAIN,斎賀みつき feat.JUST,2008
アニマル・マジック,関ジャニ∞,2010
青い月,ピロカルピン,2011
Mama,THEATRE BROOK,2005
コイウタ。,水樹奈々,2015
Lost My God,神無月郁(CV:小野賢章),2015
Tokyo Boogie Night,林原めぐみ,1992
星,SOPHIA,2007
My Valentine,Sweet Licious,2013
東京クリスマス,電気グルーヴ,1991
我家,√9,2009
Cry,小柳ゆき,2001
A Happy Ending,渡辺美里,1986
Joyful,DA PUMP,1999
Jive,中森明菜,1988
Romance,今井大介,2002
孤独の番人,natsuP(SCL Project) feat.MAYU,2012
泪橋,野狐禅,2004
fight,Tourbillon,2005
ジェットコースター,FLYING KIDS,1994
会いたくて,かりゆし58,2010
恋のフシギ,Cherie,2011
抱きしめても止まらない,松田樹利亜,1993
JOKER,ファンタ・ゼロ・コースター,2001
PARADISE,defspiral,2011
Wake you up,家入レオ,2013
AM 2:00,BENI,2013
誰があの空涙の色に,PEARL,1994
真夜中のストレンジャー,荻野目洋子,1986
Resolution,麻美ゆま,2008
ビューティフルライフ!,OUTLAW,2005
ナンバーブレイン,KEYTALK,2015
Possession Possession,SMAP,1998
宝物,岡本真夜,1999
流星リミット,少年カミカゼ,2006
ありがとう、,√8,2007
セツナアライブ,あんP feat.GUMI,2014
何も無い休日,キュウソネコカミ,2014
朱ノ鷺,Hilcrhyme,2011
Thrill,DA PUMP,2002
PENTHOUSE WEDDING,光GENJI,1989
キャラメルヘヴン,Last Note. feat.GUMI,2014
MAYBE I'M A FOOL,ZIGGY,1990
Programized Heaven,Laputa,2001
未知,SUIKEN,2002
まもなく、晴れ,Miss Monday feat.玲葉奈,2002
Over Drive,椎名へきる,2009
TRIPPIN',光永亮太,2002
遅刻のうた,遊助,2010
そんなの嘘,岡本真夜,1999
ツーリング・ブギー,RHYMESTER,2001
CHOSEN SOLDIER,ISSA(DA PUMP),2007
生涯の笑顔 ～キミに歌うアイラブユー～,BLUE BIRD BEACH,2013
Lyric without gimmick,ZZ,2004
I DON'T CARE,2NE1,2009
LOOOP,ソナーポケット,2009
道2,SUIKEN,2002
Love Affair feat.Kayzabro(DS455),詩音,2009
わすれもの,ケツメイシ,2002
Shaky! Shady! Randy!,新堂敦士,2006
DA BALA,FIRE BALL,2003
Burn Sky,RYO the SKYWALKER,2005
