name,twitter_mention,twitter_rank,real_vote,real_rank
指原莉乃,6198,4,194049,1
柏木由紀,21043,1,167183,2
渡辺麻友,5952,6,165789,3
高橋みなみ,5995,5,137252,4
松井珠理奈,2810,11,105289,5
山本彩,8081,2,97866,6
宮脇咲良,3393,9,81422,7
宮澤佐江,1832,12,75495,8
島崎遥香,7499,3,73803,9
横山由依,3481,8,63414,10
北原里英,1758,14,61566,11
渡辺美優紀,2845,10,55715,12
松村香織,503,42,53667,13
高柳明音,1066,19,52609,14
柴田阿弥,1066,18,49199,15
武藤十夢,409,53,44637,16
兒玉遥,1825,13,43985,17
須田亜香里,1402,16,43665,18
峯岸みなみ,3842,7,35506,19
大矢真那,320,65,30021,20
朝長美桜,910,22,28197,21
木﨑ゆりあ,805,27,26994,22
谷真理佳,378,56,26051,23
古畑奈和,1153,17,25650,24
高橋朱里,721,28,25421,25
小嶋真子,1570,15,25117,26
大場美奈,539,39,24708,27
加藤玲奈,648,31,24569,28
岡田奈々,663,30,23237,29
高城亜樹,1046,20,22502,30
渕上舞,575,36,22487,31
田島芽瑠,457,48,22191,32
穴井千尋,670,29,22146,33
白間美瑠,813,26,21577,34
藤江れいな,342,59,21388,35
上西恵,830,25,21135,36
坂口理子,168,120,20936,37
二村春香,342,58,20590,38
内山奈月,303,70,20437,39
矢倉楓子,830,24,20354,40
多田愛佳,251,83,19921,41
岡田栞奈,264,78,19739,42
森保まどか,636,33,19401,43
向井地美音,567,37,18392,44
宮前杏実,318,66,18245,45
神志那結衣,236,87,18085,46
田野優花,423,50,18048,47
木本花音,639,32,18021,48
佐藤すみれ,215,95,17579,49
佐々木優佳里,294,73,17466,50
松岡菜摘,476,44,17387,51
後藤理沙子,179,112,17330,52
磯原杏華,192,104,17278,53
小谷里歩,479,43,17132,54
惣田紗莉渚,188,107,17071,55
梅田彩佳,523,41,17019,56
茂木忍,154,129,16867,57
渋谷凪咲,626,35,16386,58
加藤夕夏,304,69,15729,59
薮下柊,551,38,15666,60
東李苑,258,80,15539,61
加藤るみ,178,113,15474,62
山内鈴蘭,215,94,15157,63
吉田朱里,628,34,14933,64
斉藤真木子,184,109,14916,65
北川綾巴,314,67,14674,66
大森美優,195,102,14669,67
梅本まどか,273,75,14605,68
永尾まりや,468,46,14585,69
鎌田菜月,111,158,14545,70
石田晴香,235,88,14319,71
植木南央,242,85,13961,72
熊崎晴香,189,106,13777,73
谷川愛梨,279,74,13744,74
大和田南那,891,23,13685,75
竹内舞,173,116,13539,76
石田安奈,196,101,13269,77
篠崎彩奈,118,152,13170,78
市川美織,961,21,13165,79
