年度,回数,ファン投票1位,性齢,得票数,入場人員,売得金
1956,第1回,キタノオー,牡3,6159 ,27801 ,81248400 
1957,第2回,ハクチカラ,牡4,7356 ,24611 ,66616600 
1958,第3回,カツラシユウホウ,牡3,18952 ,29605 ,109410600 
1959,第4回,ハククラマ,牡3,11438 ,22427 ,134230500 
1960,第5回,コダマ,牡3,17082 ,45584 ,251459300 
1961,第6回,シーザー,牡4,12773 ,41061 ,368439500 
1962,第7回,オンスロート,牡5,15617 ,51958 ,559645400 
1963,第8回,メイズイ,牡3,18309 ,48612 ,395587500 
1964,第9回,メイズイ,牡4,18448 ,38191 ,501538600 
1965,第10回,シンザン,牡4,26853 ,54859 ,616094600 
1966,第11回,ナスノコトブキ,牡3,22510 ,79395 ,1423229100 
1967,第12回,スピードシンボリ,牡4,22143 ,76210 ,2148459700 
1968,第13回,アサカオー,牡3,23098 ,88993 ,3222531400 
1969,第14回,マーチス,牡4,21798 ,130788 ,5394261100 
1970,第15回,アカネテンリュウ,牡4,20295 ,105539 ,7113341200 
1971,第16回,アカネテンリュウ,牡5,25215 ,94842 ,4754770400 
1972,第17回,イシノヒカル,牡3,17022 ,108612 ,10090592900 
1973,第18回,ハイセイコー,牡3,24143 ,96727 ,12441970000 
1974,第19回,ハイセイコー,牡4,22400 ,104692 ,13646985200 
1975,第20回,キタノカチドキ,牡4,17077 ,106523 ,14188273400 
1976,第21回,トウショウボーイ,牡3,19957 ,108277 ,17095457900 
1977,第22回,テンポイント,牡4,22541 ,98771 ,13513160900 
1978,第23回,プレストウコウ,牡4,75257 ,95428 ,20507061500 
1979,第24回,サクラショウリ,牡4,90301 ,93927 ,22553752300 
1980,第25回,カツラノハイセイコ,牡4,154640 ,97178 ,21789958100 
1981,第26回,ホウヨウボーイ,牡6,185747 ,85752 ,19386690400 
1982,第27回,モンテプリンス,牡5,113667 ,82594 ,19846577300 
1983,第28回,アンバーシャダイ,牡6,147484 ,89470 ,18576466700 
1984,第29回,ミスターシービー,牡4,171979 ,90858 ,18387071700 
1985,第30回,シンボリルドルフ,牡4,140753 ,81849 ,10476833900 
1986,第31回,ミホシンザン,牡4,168210 ,97211 ,20270274400 
1987,第32回,サクラスターオー,牡3,141494 ,109383 ,25184549500 
1988,第33回,タマモクロス,牡4,183473 ,68327 ,32468700700 
1989,第34回,オグリキャップ,牡4,197682 ,68912 ,32139321000 
1990,第35回,オグリキャップ,牡5,146738 ,177779 ,48031262100 
1991,第36回,メジロマックイーン,牡4,155353 ,126641 ,55345650000 
1992,第37回,トウカイテイオー,牡4,177926 ,146196 ,69556563500 
1993,第38回,ビワハヤヒデ,牡3,146218 ,160084 ,78884152000 
1994,第39回,ナリタブライアン,牡3,178471 ,160620 ,74601266900 
1995,第40回,ヒシアマゾン,牝4,173689 ,164881 ,81990894000 
1996,第41回,マヤノトップガン,牡4,155122 ,160095 ,87501042400 
1997,第42回,エアグルーヴ,牝4,142596 ,160719 ,78076068700 
1998,第43回,エアグルーヴ,牝5,165357 ,153661 ,75049511000 
1999,第44回,スペシャルウィーク,牡4,165734 ,148156 ,72787109400 
2000,第45回,テイエムオペラオー,牡4,109140 ,134345 ,58384600900 
2001,第46回,テイエムオペラオー,牡5,93217 ,116578 ,51174109300 
2002,第47回,ナリタトップロード,牡6,91122 ,121822 ,51106156400 
2003,第48回,シンボリクリスエス,牡4,125116 ,124370 ,51625714400 
2004,第49回,ゼンノロブロイ,牡4,100052 ,125316 ,51564063400 
2005,第50回,ディープインパクト,牡3,160297 ,162409 ,49909276600 
2006,第51回,ディープインパクト,牡4,119940 ,117251 ,44020377700 
2007,第52回,ウオッカ,牝3,105441 ,110363 ,45194214900 
2008,第53回,ウオッカ,牝4,136619 ,117093 ,42867705100 
2009,第54回,ウオッカ,牝5,105059 ,115327 ,40444102200 
2010,第55回,ブエナビスタ,牝4,111323 ,120213 ,38854993200 
2011,第56回,ブエナビスタ,牝5,109247 ,115065 ,37759757900 
2012,第57回,オルフェーヴル,牡4,90474 ,101237 ,33301823800 
2013,第58回,オルフェーヴル,牡5,81198 ,124782 ,35088387600 
2014,第59回,ゴールドシップ,牡5,66796 ,115878 ,38825618100 
